Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth,ID
161770,1,0,2012-04-04,29,089b39d8-e4d0-461b-87d4-814d71e0e079
85477,1,1,2012-12-30,7,e9d37224-cb6f-4942-98d7-46672963d097
147233,1,1,2012-02-02,5,3f9f49b5-e410-4948-bf6e-f9244f04918b
121393,1,2,2012-12-21,29,9991fafb-4447-451a-8be2-b0df6098d13e
63164,1,2,2012-06-20,20,eca60b76-70b6-4077-80ba-bc52e8ebb0eb
143854,0,1,2012-01-24,26,d63ede72-0b6d-45b1-8872-385ac6897f65
76439,1,0,2012-08-15,3,5e3483e5-236d-437d-8351-541f9d09b9dd
159686,1,1,2012-12-10,21,87fdc08b-30ae-4dab-803f-561ecdf27ff0
179933,0,0,2012-08-22,18,87b79988-2be5-419d-88f4-56655852c565
77504,1,0,2012-02-09,18,ea6b7d04-9271-4c0a-a01f-07795d164aba
92882,1,1,2012-01-05,9,8d700df5-0c33-4517-8cf8-92e1c92c9c12
84813,0,1,2012-06-06,30,ca5c0d7a-8bbd-42b3-8351-1074c5be011a
102006,0,1,2012-03-24,18,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0
140801,2,1,2012-02-11,32,54b1ea8a-a909-45d9-9562-775b64ac9c29
73262,2,2,2012-09-10,27,3a7b7570-aba9-40bc-9f80-3433d064b5b7
117422,1,2,2012-04-05,15,c93f0774-c122-421b-ac44-2041dcc43609
70235,1,1,2012-03-11,27,8f63b4b2-6190-4fbe-a041-b0c472c596c7
106688,1,1,2012-01-22,5,714f78d0-c23e-40ff-b892-bfeacc4223f8
99745,2,2,2012-12-11,20,4b568fd1-8690-48a4-a1e5-7497bb533047
173275,2,0,2012-04-17,26,74bf1569-4bdb-49e4-98ba-c1c607d90596
32331,1,2,2012-02-27,28,e9170af6-b4f8-4700-b954-836f94372fd8
158116,0,2,2012-10-08,21,47591c83-e88b-40c2-bb8e-de40b94a44cb
38474,0,0,2012-03-20,2,1c85ef8a-60a1-424d-804c-f712ccd612cc
179682,2,0,2012-09-26,17,f480284a-908b-4575-9ce5-28b396d54e36
49728,1,2,2012-02-07,12,2a14bcd3-a981-45c2-ac76-79323567627c
176324,1,0,2012-04-04,1,c298253f-fcd6-45cb-a6b0-9815ec3e7c13
104766,0,2,2012-12-19,32,cbf9c247-762f-40f9-a351-a7e686ac7488
118851,0,2,2012-02-08,30,b4861606-8206-4f41-acd5-63b48d5596a1
54609,1,1,2012-01-08,25,f52b8aff-2bab-496e-9b18-95925894c0ed
75488,1,1,2012-08-30,26,943bc97d-2618-4ba3-b2dc-5a3d1571446a
172888,1,2,2012-11-01,10,61bec99d-c1d2-4231-aa6a-37a002c9af42
90838,1,0,2012-05-10,7,9eaba08c-51a8-477f-93b6-ad65fb0b6f03
20361,2,0,2012-11-14,32,69cb4917-d4e6-456f-a840-c5c411bac44c
128876,0,2,2012-10-06,1,a028192c-3c95-4935-aa95-06515e5fd38d
121937,2,2,2012-10-29,21,ebf703d5-d980-47bc-a8eb-6de16260483f
73868,1,1,2012-02-29,14,7aeeda6f-95df-402b-a8d8-817764f4dafe
83851,1,1,2012-10-18,12,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9
71669,2,2,2012-04-16,26,a7eb98b2-0163-4375-a6a5-40b5f2ce6428
50412,0,0,2012-05-05,2,a9280a68-5b1e-448c-98c9-271eba3e4a30
35940,1,0,2012-11-15,15,b1d3e69b-43f5-4983-ba00-37dcc3979e84
131696,2,0,2012-12-23,3,e03dc123-10b3-42f2-9d18-c26a53c7a473
55182,2,0,2012-11-20,7,41f0832d-fea4-47dc-81c3-ad5a528a2fb7
170859,2,2,2012-04-11,28,dd9279a9-2d85-4f87-b87b-560f5224d46a
65477,0,0,2012-09-10,24,45576313-a078-48e8-803c-b5fec072ee53
122815,2,1,2012-05-14,28,f2e69637-04fb-4d2d-813e-b15e061776e9
52087,0,2,2012-03-09,13,01d47e8f-32e7-4fd8-8188-2761a09f42bb
136434,1,1,2012-07-03,3,170ae51e-abde-4832-a157-f1bf0f630e83
48855,2,1,2012-08-21,11,6beb1eea-2343-42c1-9881-378c64cf08e5
14091,1,2,2012-03-23,15,6155f7ed-fc77-4de5-8f66-386c9a85d74a
49376,1,2,2012-11-21,18,652ef647-2ee2-4afd-8cd1-105ff08b9dfb
141524,1,2,2012-01-10,32,89d515a3-7191-4a7c-b166-692bd3eb0e2e
139751,0,2,2012-06-23,15,d43355a7-b518-46f4-8713-b9daba3e586f
175358,2,1,2012-07-27,8,b575bf38-fde5-4980-a253-e5d2a7c6622d
43378,1,0,2012-01-13,14,fc488ebf-de25-4108-a5e0-881010bcb6db
171806,2,1,2012-04-01,26,a53d19c6-cc04-4e56-936c-2af714cb0691
82735,2,1,2012-09-15,5,b49bf23e-16c4-4e10-8bad-cff8277af141
21488,1,2,2012-07-13,29,3cd59535-e982-46ec-8bdb-5540b42f98c7
165897,1,2,2012-11-28,3,b9e57bd9-32b6-48db-be0b-399968bb4458
20845,2,2,2012-09-27,1,c70bda4e-ab87-48ad-a248-c654a465ba18
42782,0,1,2012-05-14,15,df2754f0-ab9d-4392-969f-255be30bcf95
140136,2,2,2012-07-18,14,4c4427bf-a4b4-4127-a461-a0db67bb5508
76853,2,0,2012-11-12,23,356fc69e-a248-4af2-ae28-c2c8d3aa779d
61337,0,1,2012-02-24,7,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707
178376,1,1,2012-06-10,18,4d0f692b-c599-45a2-b496-3b4fb0ca3a41
83568,0,2,2012-01-06,18,d8ea4803-4a98-402e-a522-03302ef278b5
114438,1,0,2012-06-06,32,472c21b6-733b-448a-b97e-0899d471b051
128341,2,0,2012-10-29,13,c2c2c999-1f3d-48ac-9a17-562777356f88
26244,0,2,2012-05-18,16,f9b67e3e-db2e-4089-85e1-df5462319653
130764,1,0,2012-03-30,8,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7
141859,2,1,2012-02-06,4,c5bee864-d04c-4e58-a813-8239b67d6345
55445,0,2,2012-10-05,21,c9264446-deae-4147-87a6-7f6d53a50af0
77947,1,1,2012-04-29,11,5df79f8e-3ec3-48f9-bbff-b21447c79099
67439,0,1,2012-03-05,9,6444da89-9436-4b09-ad38-159551c260e3
80033,0,0,2012-01-15,11,6e4cd355-435a-4d7b-b2f5-92d64c706a05
93745,0,2,2012-07-16,27,d3fd430a-83ab-48fb-ad0f-29219a273d56
